retired_concept_id	active_concept_id	association
111808006	81004002	REPLACED_BY
111810008	77377001	REPLACED_BY
111814004	88415009	REPLACED_BY
111818001	111817006	REPLACED_BY
111822006	58227000	REPLACED_BY
111823001	83883001	REPLACED_BY
111826009	10706006	REPLACED_BY
111827000	38279006	REPLACED_BY
111828005	111830007	REPLACED_BY
111829002	74181004	REPLACED_BY
111831006	111830007	REPLACED_BY
111834003	19265001	REPLACED_BY
111836001	266071000	REPLACED_BY
111840005	27020006	SAME_AS
111841009	75116005	REPLACED_BY
111844001	111843007	REPLACED_BY
111848003	16766000	REPLACED_BY
111853008	88594005	REPLACED_BY
111854002	88594005	REPLACED_BY
111855001	88594005	REPLACED_BY
111857009	88594005	REPLACED_BY
111858004	38907003	REPLACED_BY
111859007	4740000	REPLACED_BY
111860002	4740000	REPLACED_BY
111861003	4740000	REPLACED_BY
111862005	4740000	REPLACED_BY
111870000	36989005	REPLACED_BY
111871001	36989005	REPLACED_BY
111873003	14189004	REPLACED_BY
111874009	14189004	REPLACED_BY
111876006	6142004	REPLACED_BY
111877002	36921006	SAME_AS
111888008	420721002	REPLACED_BY
111889000	62479008	REPLACED_BY
111893006	3738000	REPLACED_BY
111894000	111896003	REPLACED_BY
111895004	40946000	REPLACED_BY
111902008	187067000	REPLACED_BY
111903003	111904009	REPLACED_BY
111905005	78048006	REPLACED_BY
111913006	111910009	REPLACED_BY
111914000	240367005	SAME_AS
111915004	187192000	REPLACED_BY
111916003	56335008	REPLACED_BY
111917007	61462000	REPLACED_BY
111918002	75549005	REPLACED_BY
111919005	10087007	REPLACED_BY
111924008	75006000	REPLACED_BY
111925009	21009004	REPLACED_BY
111931007	240855004	SAME_AS
111938001	75375008	SAME_AS
111939009	46799006	SAME_AS
112072009	18606002	SAME_AS
112079000	386825004	REPLACED_BY
112083000	386820009	REPLACED_BY
112093007	736606009	SAME_AS
112096004	270903007	SAME_AS
112112004	274521009	SAME_AS
112146003	131154005	REPLACED_BY
112150005	131161009	REPLACED_BY
112151009	165743006	SAME_AS
11229008	262782002	REPLACED_BY
11230003	206223002	SAME_AS
1123004	197378004	SAME_AS
11243003	26336006	SAME_AS
11250004	240699006	SAME_AS
11290001	414173003	REPLACED_BY
11293004	267639001	SAME_AS
11297003	202170005	SAME_AS
1130005	268190004	SAME_AS
11304801000119106	942071000124101	REPLACED_BY
11304841000119108	942161000124107	REPLACED_BY
11304881000119103	942071000124101	REPLACED_BY
11312321000119101	942141000124108	REPLACED_BY
11312361000119106	942051000124106	REPLACED_BY
11312641000119103	11312681000119108	SAME_AS
11312801000119104	942041000124109	REPLACED_BY
11312841000119102	942171000124100	REPLACED_BY
11312881000119107	942151000124105	REPLACED_BY
11312921000119100	942061000124108	REPLACED_BY
1132002	217670007	SAME_AS
113201000119101	1284829001	SAME_AS
113211000119103	1284830006	SAME_AS
113291000119107	1290237009	SAME_AS
113331000119101	1297041003	SAME_AS
11361009	238928005	SAME_AS
11365000	34822003	SAME_AS
11373009	1204037006	REPLACED_BY
11382003	209453007	SAME_AS
1141000124103	449737008	REPLACED_BY
11417002	237125007	SAME_AS
1142180003	1156256003	REPLACED_BY
1144242006	275505006	SAME_AS
1144252005	254408000	SAME_AS
1144524002	129885005	SAME_AS
1144625005	302885000	SAME_AS
1144958004	403472004	SAME_AS
1145026000	1156265005	REPLACED_BY
1145031003	1156270003	REPLACED_BY
11464002	26947005	REPLACED_BY
11487005	194892009	SAME_AS
1148756004	1148755000	REPLACED_BY
1148890003	782915004	SAME_AS
1151000124101	449738003	REPLACED_BY
11523005	212183002	SAME_AS
1153345005	1260268001	REPLACED_BY
1155740004	66413004	REPLACED_BY
1156002001	296650002	REPLACED_BY
1156097001	1363554006	REPLACED_BY
1156808001	764952009	SAME_AS
115738002	131164001	REPLACED_BY
115739005	131165000	REPLACED_BY
115740007	131166004	REPLACED_BY
115741006	131167008	REPLACED_BY
115742004	131168003	REPLACED_BY
115743009	131169006	REPLACED_BY
115766005	406007008	REPLACED_BY
115767001	406005000	REPLACED_BY
115768006	406006004	REPLACED_BY
115769003	406009006	REPLACED_BY
115770002	406002002	REPLACED_BY
115771003	406002002	SAME_AS
115772005	406004001	REPLACED_BY
115773000	406008003	REPLACED_BY
115856005	131178000	REPLACED_BY
115857001	131179008	SAME_AS
115858006	131180006	REPLACED_BY
115859003	131181005	REPLACED_BY
115941000	131163007	REPLACED_BY
116022009	400038003	SAME_AS
11606009	196856007	SAME_AS
1161000124104	449742000	REPLACED_BY
1162304008	735598004	SAME_AS
1162398002	224255009	REPLACED_BY
1162399005	1197636006	REPLACED_BY
1162400003	1197637002	REPLACED_BY
1162547009	1197631001	REPLACED_BY
1162548004	1197640002	REPLACED_BY
1162549007	1197641003	REPLACED_BY
1162550007	1197645007	REPLACED_BY
1162551006	1197646008	REPLACED_BY
1162552004	1162585007	REPLACED_BY
1162553009	1197647004	REPLACED_BY
1162567000	235833007	SAME_AS
116342008	237116001	SAME_AS
1163534008	406598000	SAME_AS
116691000119101	763666008	SAME_AS
1171000124106	449739006	REPLACED_BY
1172921005	81647003	SAME_AS
1172960007	1354664003	REPLACED_BY
1172962004	1354665002	REPLACED_BY
11733000	23892008	SAME_AS
117489004	102851003	SAME_AS
11766001	186738001	REPLACED_BY
11772651000119107	11778921000119106	SAME_AS
11772691000119102	11778961000119101	SAME_AS
1179237005	473035006	REPLACED_BY
1179238000	473035006	REPLACED_BY
1179241009	473035006	REPLACED_BY
1179391006	1217295005	REPLACED_BY
