normalized_name	concept_id	display_name
atherosclerosis of renal artery (disorder)	45281005	Atherosclerosis of renal artery (disorder)
atherosclerotic renal artery stenosis (disorder)	302910002	Atherosclerotic renal artery stenosis (disorder)
atonic postpartum hemorrhage (disorder)	27214003	Atonic postpartum hemorrhage (disorder)
atopic conjunctivitis (disorder)	231854006	Atopic conjunctivitis (disorder)
atopic dermatitis (disorder)	24079001	Atopic dermatitis (disorder)
atrial arrhythmia (disorder)	17366009	Atrial arrhythmia (disorder)
atrial fibrillation (disorder)	49436004	Atrial fibrillation (disorder)
atrial flutter (disorder)	5370000	Atrial flutter (disorder)
atrial premature complex (disorder)	287057009	Atrial premature complex (disorder)
atrial septal defect (disorder)	70142008	Atrial septal defect (disorder)
atrioventricular block (disorder)	233917008	Atrioventricular block (disorder)
atrioventricular septal defect: atrial and ventricular components (disorder)	253416000	Atrioventricular septal defect: atrial and ventricular components (disorder)
atrophic gastritis (disorder)	84568007	Atrophic gastritis (disorder)
atrophic vaginitis (disorder)	52441000	Atrophic vaginitis (disorder)
atrophic vulva (disorder)	248861000	Atrophic vulva (disorder)
atrophic vulvovaginitis (disorder)	75993002	Atrophic vulvovaginitis (disorder)
atrophy of edentulous alveolar ridge (disorder)	91950000	Atrophy of edentulous alveolar ridge (disorder)
atrophy of kidney (disorder)	197659005	Atrophy of kidney (disorder)
atrophy of vagina (disorder)	297147009	Atrophy of vagina (disorder)
attacks of weakness (finding)	248278004	Attacks of weakness (finding)
attention deficit hyperactivity disorder (disorder)	406506008	Attention deficit hyperactivity disorder (disorder)
attention deficit hyperactivity disorder, combined type (disorder)	31177006	Attention deficit hyperactivity disorder, combined type (disorder)
attention deficit hyperactivity disorder, predominantly inattentive type (disorder)	35253001	Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)
attention to gastrostomy (procedure)	235222001	Attention to gastrostomy (procedure)
attention to ileostomy (procedure)	173984004	Attention to ileostomy (procedure)
attention to tracheostomy (procedure)	232613003	Attention to tracheostomy (procedure)
atypical absence seizure (finding)	23374007	Atypical absence seizure (finding)
atypical chest pain (finding)	102589003	Atypical chest pain (finding)
atypical depressive disorder (disorder)	191659001	Atypical depressive disorder (disorder)
atypical facial pain (finding)	71303008	Atypical facial pain (finding)
atypical hyperplasia of breast (disorder)	369462000	Atypical hyperplasia of breast (disorder)
atypical mole syndrome (disorder)	254819008	Atypical mole syndrome (disorder)
atypical pneumonia (disorder)	233606009	Atypical pneumonia (disorder)
atypical squamous cells of undetermined significance (morphologic abnormality)	39035006	Atypical squamous cells of undetermined significance (morphologic abnormality)
atypical squamous cells of undetermined significance on cervical papanicolaou smear (finding)	441087007	Atypical squamous cells of undetermined significance on cervical Papanicolaou smear (finding)
atypical squamous cells of undetermined significance on vaginal papanicolaou smear (finding)	441099000	Atypical squamous cells of undetermined significance on vaginal Papanicolaou smear (finding)
atypical squamous cells on cervical papanicolaou smear cannot exclude high grade squamous intraepithelial lesion (finding)	441088002	Atypical squamous cells on cervical Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion (finding)
augmentation mammoplasty (procedure)	22890008	Augmentation mammoplasty (procedure)
autoantibody titer detected (finding)	165879008	Autoantibody titer detected (finding)
autoimmune disease (disorder)	85828009	Autoimmune disease (disorder)
autoimmune hemolytic anemia (disorder)	413603009	Autoimmune hemolytic anemia (disorder)
autoimmune hepatitis (disorder)	408335007	Autoimmune hepatitis (disorder)
autoimmune thyroiditis (disorder)	66944004	Autoimmune thyroiditis (disorder)
autologous bone marrow transplant (procedure)	58776007	Autologous bone marrow transplant (procedure)
autologous peripheral blood stem cell transplant (procedure)	425983008	Autologous peripheral blood stem cell transplant (procedure)
automatic defibrillator procedure (procedure)	233169004	Automatic defibrillator procedure (procedure)
autonomic dysreflexia (disorder)	129618003	Autonomic dysreflexia (disorder)
autonomic neuropathy (disorder)	277879009	Autonomic neuropathy (disorder)
autonomic neuropathy due to diabetes mellitus (disorder)	50620007	Autonomic neuropathy due to diabetes mellitus (disorder)
autonomic neuropathy due to type 1 diabetes mellitus (disorder)	712882000	Autonomic neuropathy due to type 1 diabetes mellitus (disorder)
autonomic neuropathy due to type 2 diabetes mellitus (disorder)	712883005	Autonomic neuropathy due to type 2 diabetes mellitus (disorder)
autosomal dominant polycystic kidney disease (disorder)	765330003	Autosomal dominant polycystic kidney disease (disorder)
avascular necrosis of bone (disorder)	397758007	Avascular necrosis of bone (disorder)
avascular necrosis of capital femoral epiphysis (disorder)	111255008	Avascular necrosis of capital femoral epiphysis (disorder)
avascular necrosis of head of femur (disorder)	203476003	Avascular necrosis of head of femur (disorder)
avascular necrosis of neck of femur (disorder)	1287521003	Avascular necrosis of neck of femur (disorder)
avoidant personality disorder (disorder)	37746008	Avoidant personality disorder (disorder)
axillary lymphadenopathy (disorder)	127189005	Axillary lymphadenopathy (disorder)
azotemia (disorder)	445009001	Azotemia (disorder)
b-cell acute lymphoblastic leukemia (disorder)	277571004	B-cell acute lymphoblastic leukemia (disorder)
back pain complicating pregnancy (disorder)	91957002	Back pain complicating pregnancy (disorder)
back strain of thoracic region (disorder)	66540002	Back strain of thoracic region (disorder)
backache (finding)	161891005	Backache (finding)
bacteremia (finding)	5758002	Bacteremia (finding)
bacterial arthritis (disorder)	48245008	Bacterial arthritis (disorder)
bacterial conjunctivitis (disorder)	128350005	Bacterial conjunctivitis (disorder)
bacterial endocarditis (disorder)	301183007	Bacterial endocarditis (disorder)
bacterial infection caused by pseudomonas (disorder)	63398001	Bacterial infection caused by Pseudomonas (disorder)
bacterial infectious disease (disorder)	87628006	Bacterial infectious disease (disorder)
bacterial overgrowth syndrome (disorder)	66379009	Bacterial overgrowth syndrome (disorder)
bacterial pneumonia (disorder)	53084003	Bacterial pneumonia (disorder)
bacterial vaginosis (disorder)	419760006	Bacterial vaginosis (disorder)
balanitis (disorder)	44882003	Balanitis (disorder)
balloon aortic valvotomy (procedure)	232834008	Balloon aortic valvotomy (procedure)
band-shaped keratopathy (disorder)	35055000	Band-shaped keratopathy (disorder)
bariatric operative procedure (procedure)	430715008	Bariatric operative procedure (procedure)
barium enema abnormal (finding)	168840001	Barium enema abnormal (finding)
barrett's esophagus (disorder)	302914006	Barrett's esophagus (disorder)
basal cell carcinoma of ear (disorder)	402820007	Basal cell carcinoma of ear (disorder)
basal cell carcinoma of eyelid (disorder)	231832009	Basal cell carcinoma of eyelid (disorder)
basal cell carcinoma of face (disorder)	402519009	Basal cell carcinoma of face (disorder)
basal cell carcinoma of lower extremity (disorder)	402522006	Basal cell carcinoma of lower extremity (disorder)
basal cell carcinoma of neck (disorder)	402509003	Basal cell carcinoma of neck (disorder)
basal cell carcinoma of nose (disorder)	402818009	Basal cell carcinoma of nose (disorder)
basal cell carcinoma of scalp (disorder)	403915004	Basal cell carcinoma of scalp (disorder)
basal cell carcinoma of skin (disorder)	254701007	Basal cell carcinoma of skin (disorder)
basal cell carcinoma of truncal skin (disorder)	402523001	Basal cell carcinoma of truncal skin (disorder)
basilar artery syndrome (disorder)	64009001	Basilar artery syndrome (disorder)
battey disease (disorder)	373435003	Battey disease (disorder)
bee sting (disorder)	241820008	Bee sting (disorder)
behcet's syndrome (disorder)	310701003	Behcet's syndrome (disorder)
bell's palsy (disorder)	193093009	Bell's palsy (disorder)
benign adenomatous neoplasm (disorder)	443416007	Benign adenomatous neoplasm (disorder)
benign essential hypertension (disorder)	1201005	Benign essential hypertension (disorder)
benign essential hypertension complicating and/or reason for care during pregnancy (disorder)	23717007	Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder)
benign hypertension (disorder)	10725009	Benign hypertension (disorder)
benign hypertensive heart disease without congestive heart failure (disorder)	77970009	Benign hypertensive heart disease without congestive heart failure (disorder)
benign intracranial hypertension (disorder)	68267002	Benign intracranial hypertension (disorder)
benign localized hyperplasia of prostate (disorder)	444808002	Benign localized hyperplasia of prostate (disorder)
benign monoclonal gammopathy (disorder)	58648008	Benign monoclonal gammopathy (disorder)
benign mucous membrane pemphigoid (disorder)	34250006	Benign mucous membrane pemphigoid (disorder)
benign neoplasm of adrenal gland (disorder)	91967007	Benign neoplasm of adrenal gland (disorder)
benign neoplasm of brain (disorder)	92030004	Benign neoplasm of brain (disorder)
benign neoplasm of brain meninges (disorder)	92051001	Benign neoplasm of brain meninges (disorder)
benign neoplasm of breast (disorder)	269485000	Benign neoplasm of breast (disorder)
benign neoplasm of choroid (disorder)	92059004	Benign neoplasm of choroid (disorder)
benign neoplasm of colon (disorder)	92065004	Benign neoplasm of colon (disorder)
benign neoplasm of cranial nerve (disorder)	92071005	Benign neoplasm of cranial nerve (disorder)
benign neoplasm of ear (disorder)	255181009	Benign neoplasm of ear (disorder)
benign neoplasm of external ear (disorder)	277157002	Benign neoplasm of external ear (disorder)
benign neoplasm of eyelid (disorder)	231824001	Benign neoplasm of eyelid (disorder)
benign neoplasm of meninges (disorder)	109913001	Benign neoplasm of meninges (disorder)
benign neoplasm of nose, middle ear and accessory sinuses (disorder)	271472001	Benign neoplasm of nose, middle ear and accessory sinuses (disorder)
benign neoplasm of oral cavity (disorder)	419645003	Benign neoplasm of oral cavity (disorder)
benign neoplasm of orbit (disorder)	92258000	Benign neoplasm of orbit (disorder)
benign neoplasm of ovary (disorder)	92260003	Benign neoplasm of ovary (disorder)
benign neoplasm of pancreas (disorder)	92264007	Benign neoplasm of pancreas (disorder)
benign neoplasm of pituitary gland (disorder)	92296004	Benign neoplasm of pituitary gland (disorder)
benign neoplasm of pituitary gland and craniopharyngeal duct (disorder)	271479005	Benign neoplasm of pituitary gland and craniopharyngeal duct (disorder)
benign neoplasm of prostate (disorder)	92308005	Benign neoplasm of prostate (disorder)
benign neoplasm of respiratory system (disorder)	255166003	Benign neoplasm of respiratory system (disorder)
benign neoplasm of skin (disorder)	92384009	Benign neoplasm of skin (disorder)
benign neoplasm of skin of face (disorder)	92359006	Benign neoplasm of skin of face (disorder)
benign neoplasm of skin of lip (disorder)	92369000	Benign neoplasm of skin of lip (disorder)
benign neoplasm of skin of lower limb (disorder)	92370004	Benign neoplasm of skin of lower limb (disorder)
benign neoplasm of skin of neck (disorder)	92371000	Benign neoplasm of skin of neck (disorder)
benign neoplasm of skin of scalp (disorder)	92375009	Benign neoplasm of skin of scalp (disorder)
benign neoplasm of skin of shoulder (disorder)	92376005	Benign neoplasm of skin of shoulder (disorder)
benign neoplasm of skin of trunk (disorder)	92380000	Benign neoplasm of skin of trunk (disorder)
benign neoplasm of skin of upper limb (disorder)	92382008	Benign neoplasm of skin of upper limb (disorder)
benign neoplasm of soft tissues of lower limb (disorder)	92394004	Benign neoplasm of soft tissues of lower limb (disorder)
benign neoplasm of soft tissues of upper limb (disorder)	92401003	Benign neoplasm of soft tissues of upper limb (disorder)
benign neoplasm of thyroid gland (disorder)	92439006	Benign neoplasm of thyroid gland (disorder)
benign neoplastic disease (disorder)	20376005	Benign neoplastic disease (disorder)
benign paraproteinemia (disorder)	395692003	Benign paraproteinemia (disorder)
benign paroxysmal positional vertigo (disorder)	111541001	Benign paroxysmal positional vertigo (disorder)
benign pheochromocytoma (disorder)	253032007	Benign pheochromocytoma (disorder)
benign prostatic hyperplasia (disorder)	266569009	Benign prostatic hyperplasia (disorder)
benign prostatic hyperplasia with outflow obstruction (disorder)	236646007	Benign prostatic hyperplasia with outflow obstruction (disorder)
benign prostatic hyperplasia without outflow obstruction (disorder)	254902007	Benign prostatic hyperplasia without outflow obstruction (disorder)
benign secondary renovascular hypertension (disorder)	73410007	Benign secondary renovascular hypertension (disorder)
benign teratoma of ovary (disorder)	119423009	Benign teratoma of ovary (disorder)
benzodiazepine overdose (disorder)	296053004	Benzodiazepine overdose (disorder)
bereavement (finding)	74506000	Bereavement (finding)
berry aneurysm (disorder)	277196008	Berry aneurysm (disorder)
beta thalassemia (disorder)	65959000	Beta thalassemia (disorder)
beta thalassemia trait (disorder)	269175006	Beta thalassemia trait (disorder)
biceps tendinitis (disorder)	202856007	Biceps tendinitis (disorder)
bicuspid aortic valve (disorder)	72352009	Bicuspid aortic valve (disorder)
bilateral cataracts (disorder)	95722004	Bilateral cataracts (disorder)
bilateral hearing loss (disorder)	95820000	Bilateral hearing loss (disorder)
bilateral hydronephrosis (disorder)	95581005	Bilateral hydronephrosis (disorder)
bilateral inguinal hernia (disorder)	85502002	Bilateral inguinal hernia (disorder)
bilateral sensory hearing loss (disorder)	430985005	Bilateral sensory hearing loss (disorder)
bilateral visual impairment (disorder)	218951000119100	Bilateral visual impairment (disorder)
biliary cirrhosis (disorder)	1761006	Biliary cirrhosis (disorder)
biliary colic (finding)	37389005	Biliary colic (finding)
biliary dyskinesia (disorder)	197432008	Biliary dyskinesia (disorder)
biliary stricture (disorder)	235921003	Biliary stricture (disorder)
bimalleolar fracture of ankle (disorder)	263244000	Bimalleolar fracture of ankle (disorder)
biopsy (procedure)	86273004	Biopsy (procedure)
biopsy of breast (procedure)	122548005	Biopsy of breast (procedure)
biopsy of liver (procedure)	86259008	Biopsy of liver (procedure)
bipolar affective disorder, current episode depression (disorder)	191627008	Bipolar affective disorder, current episode depression (disorder)
bipolar affective disorder, current episode manic (disorder)	191618007	Bipolar affective disorder, current episode manic (disorder)
bipolar affective disorder, currently manic, severe, with psychosis (disorder)	191623007	Bipolar affective disorder, currently manic, severe, with psychosis (disorder)
bipolar disorder (disorder)	13746004	Bipolar disorder (disorder)
bipolar disorder in remission (disorder)	85248005	Bipolar disorder in remission (disorder)
bipolar i disorder (disorder)	371596008	Bipolar I disorder (disorder)
bipolar i disorder, most recent episode hypomanic (disorder)	31446002	Bipolar I disorder, most recent episode hypomanic (disorder)
bipolar i disorder, single manic episode, in partial remission (disorder)	78269000	Bipolar I disorder, single manic episode, in partial remission (disorder)
bipolar ii disorder (disorder)	83225003	Bipolar II disorder (disorder)
bitemporal hemianopia (finding)	61917005	Bitemporal hemianopia (finding)
biventricular congestive heart failure (disorder)	92506005	Biventricular congestive heart failure (disorder)
bleeding (finding)	131148009	Bleeding (finding)
bleeding esophageal varices (disorder)	17709002	Bleeding esophageal varices (disorder)
bleeding from anus (disorder)	6072007	Bleeding from anus (disorder)
bleeding from nose (finding)	249366005	Bleeding from nose (finding)
bleeding from vagina (finding)	289530006	Bleeding from vagina (finding)
bleeding gastric varices (disorder)	24807004	Bleeding gastric varices (disorder)
bleeding gums (finding)	86276007	Bleeding gums (finding)
bleeding ulcer of esophagus (disorder)	57748001	Bleeding ulcer of esophagus (disorder)
blepharitis (disorder)	41446000	Blepharitis (disorder)
blepharospasm (disorder)	59026006	Blepharospasm (disorder)
blighted ovum (disorder)	35999006	Blighted ovum (disorder)
blind left eye (disorder)	274571007	Blind left eye (disorder)
blind loop syndrome (disorder)	77225009	Blind loop syndrome (disorder)
blind right eye (disorder)	274572000	Blind right eye (disorder)
blindness - both eyes (disorder)	193699007	Blindness - both eyes (disorder)
blindness and/or vision impairment level (disorder)	105597003	Blindness AND/OR vision impairment level (disorder)
blister of skin and/or mucosa (disorder)	417237009	Blister of skin AND/OR mucosa (disorder)
block dissection of cervical lymph nodes (procedure)	178283002	Block dissection of cervical lymph nodes (procedure)
blood chemistry outside reference range (finding)	166318006	Blood chemistry outside reference range (finding)
blood coagulation disorder (disorder)	64779008	Blood coagulation disorder (disorder)
blood glucose outside reference range (finding)	166922008	Blood glucose outside reference range (finding)
blood in urine (finding)	34436003	Blood in urine (finding)
blood pressure above reference range (finding)	24184005	Blood pressure above reference range (finding)
blood pressure below reference range (finding)	12763006	Blood pressure below reference range (finding)
blood pressure outside reference range (finding)	38936003	Blood pressure outside reference range (finding)
blood pressure taking (procedure)	46973005	Blood pressure taking (procedure)
bloodstained liquor (finding)	249134008	Bloodstained liquor (finding)
bloodstained sputum (finding)	61281005	Bloodstained sputum (finding)
bloody nipple discharge (disorder)	290113009	Bloody nipple discharge (disorder)
blow out fracture of orbit (disorder)	263167007	Blow out fracture of orbit (disorder)
blunt injury (disorder)	425359009	Blunt injury (disorder)
blurring of visual image (finding)	111516008	Blurring of visual image (finding)
body fluid retention (finding)	43498006	Body fluid retention (finding)
body mass index 25-29 - overweight (finding)	162863004	Body mass index 25-29 - overweight (finding)
body mass index 30+ - obesity (finding)	162864005	Body mass index 30+ - obesity (finding)
body mass index 40+ - severely obese (finding)	408512008	Body mass index 40+ - severely obese (finding)
body weight problem (finding)	301336003	Body weight problem (finding)
boils of multiple sites (disorder)	238389005	Boils of multiple sites (disorder)
bolus obstruction of intestine (disorder)	235810006	Bolus obstruction of intestine (disorder)
bone cyst (disorder)	203465002	Bone cyst (disorder)
bone pain (finding)	12584003	Bone pain (finding)
bony callus (morphologic abnormality)	27881006	Bony callus (morphologic abnormality)
borderline personality disorder (disorder)	20010003	Borderline personality disorder (disorder)
bowing deformity of lower limb (finding)	609380008	Bowing deformity of lower limb (finding)
brachial neuritis (disorder)	72893007	Brachial neuritis (disorder)
brachial plexus disorder (disorder)	3548001	Brachial plexus disorder (disorder)
bradycardia (finding)	48867003	Bradycardia (finding)
brain disorder resulting from a period of impaired oxygen delivery to the brain (disorder)	126944002	Brain disorder resulting from a period of impaired oxygen delivery to the brain (disorder)
brain injury with open intracranial wound (disorder)	28188001	Brain injury with open intracranial wound (disorder)
brain ventricular shunt obstruction (disorder)	230808006	Brain ventricular shunt obstruction (disorder)
brainstem death (disorder)	230802007	Brainstem death (disorder)
break of retina (disorder)	1275615004	Break of retina (disorder)
breast cancer screening declined (situation)	12275351000119103	Breast cancer screening declined (situation)
breast finding (finding)	116339002	Breast finding (finding)
breast lump (finding)	89164003	Breast lump (finding)
breastfed (finding)	169741004	Breastfed (finding)
breastfeeding problem in the newborn (finding)	240301009	Breastfeeding problem in the newborn (finding)
breasts asymmetrical (finding)	271691008	Breasts asymmetrical (finding)
breath smells unpleasant (finding)	79879001	Breath smells unpleasant (finding)
breathing-related sleep disorder (disorder)	111489007	Breathing-related sleep disorder (disorder)
breech malpresentation successfully converted to cephalic presentation (disorder)	17532001	Breech malpresentation successfully converted to cephalic presentation (disorder)
breech presentation (finding)	6096002	Breech presentation (finding)
brief depressive adjustment reaction (disorder)	192046006	Brief depressive adjustment reaction (disorder)
brittle diabetes mellitus (disorder)	11530004	Brittle diabetes mellitus (disorder)
broken skin (disorder)	247442005	Broken skin (disorder)
bronchiectasis (disorder)	12295008	Bronchiectasis (disorder)
bronchiolitis (disorder)	4120002	Bronchiolitis (disorder)
bronchitis (disorder)	32398004	Bronchitis (disorder)
bronchitis co-occurrent with acute wheeze (disorder)	785744001	Bronchitis co-occurrent with acute wheeze (disorder)
bronchopneumonia (disorder)	396285007	Bronchopneumonia (disorder)
bronchopulmonary dysplasia of newborn (disorder)	67569000	Bronchopulmonary dysplasia of newborn (disorder)
bronchoscopy (procedure)	10847001	Bronchoscopy (procedure)
bronchospasm (finding)	4386001	Bronchospasm (finding)
bruit (finding)	70466008	Bruit (finding)
bruxism (disorder)	191983006	Bruxism (disorder)
bulimia nervosa (disorder)	78004001	Bulimia nervosa (disorder)
bullous dermatosis (disorder)	7231009	Bullous dermatosis (disorder)
bullous keratopathy (disorder)	57207003	Bullous keratopathy (disorder)
bullous myringitis (disorder)	33528003	Bullous myringitis (disorder)
bullous pemphigoid (disorder)	77090002	Bullous pemphigoid (disorder)
bundle branch block (disorder)	6374002	Bundle branch block (disorder)
burn (disorder)	125666000	Burn (disorder)
burn of face (disorder)	262582004	Burn of face (disorder)
burn of foot (disorder)	11980003	Burn of foot (disorder)
burn of genitalia (disorder)	284220000	Burn of genitalia (disorder)
burn of hand (disorder)	14893008	Burn of hand (disorder)
burn of lower limb (disorder)	84677008	Burn of lower limb (disorder)
burn of multiple sites of trunk (disorder)	11868005	Burn of multiple sites of trunk (disorder)
burn of neck (disorder)	60713008	Burn of neck (disorder)
burn of upper limb (disorder)	6055000	Burn of upper limb (disorder)
burning mouth syndrome (disorder)	399165002	Burning mouth syndrome (disorder)
burning sensation (finding)	90673000	Burning sensation (finding)
burning sensation in eye (finding)	2070002	Burning sensation in eye (finding)
burns of multiple sites (disorder)	10132008	Burns of multiple sites (disorder)
burping (finding)	271834000	Burping (finding)
bursitis (disorder)	84017003	Bursitis (disorder)
bursitis of calcaneal tendon bursa (disorder)	221695002	Bursitis of calcaneal tendon bursa (disorder)
bursitis of foot region (disorder)	240027002	Bursitis of foot region (disorder)
bursitis of hip (disorder)	81498004	Bursitis of hip (disorder)
bursitis of shoulder (disorder)	239961006	Bursitis of shoulder (disorder)
bypass gastroenterostomy (procedure)	18692006	Bypass gastroenterostomy (procedure)
bypass of stomach with short limb roux-en-y gastroenterostomy (procedure)	443906008	Bypass of stomach with short limb Roux-en-Y gastroenterostomy (procedure)
c-reactive protein outside reference range (finding)	166584001	C-reactive protein outside reference range (finding)
cachexia (finding)	238108007	Cachexia (finding)
caffeine-related disorder (disorder)	308374001	Caffeine-related disorder (disorder)
cafã© au lait spot (disorder)	201281002	CafÃ© au lait spot (disorder)
calcaneal spur (finding)	55260003	Calcaneal spur (finding)
calcific tendinitis of shoulder (disorder)	27741009	Calcific tendinitis of shoulder (disorder)
calcification of breast (disorder)	309587003	Calcification of breast (disorder)
calcification of coronary artery (disorder)	445512009	Calcification of coronary artery (disorder)
calcinosis, raynaud's phenomenon, sclerodactyly, and telangiectasia syndrome (disorder)	62382002	Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia syndrome (disorder)
calcium pyrophosphate deposition disease (disorder)	239832006	Calcium pyrophosphate deposition disease (disorder)
calcium renal calculus (disorder)	427649000	Calcium renal calculus (disorder)
calculus in biliary tract (disorder)	266474003	Calculus in biliary tract (disorder)
calculus in pelviureteric junction (disorder)	236711008	Calculus in pelviureteric junction (disorder)
calculus in urethra (disorder)	20342001	Calculus in urethra (disorder)
calculus of bile duct with obstruction (disorder)	4661003	Calculus of bile duct with obstruction (disorder)
calculus of gallbladder with cholecystitis (disorder)	25924004	Calculus of gallbladder with cholecystitis (disorder)
calculus of kidney and ureter (disorder)	266556005	Calculus of kidney and ureter (disorder)
calculus of lower third of ureter (disorder)	447043009	Calculus of lower third of ureter (disorder)
callosity (disorder)	201040000	Callosity (disorder)
callus of bone (finding)	443092002	Callus of bone (finding)
calyceal renal calculus (disorder)	236708007	Calyceal renal calculus (disorder)
cancer antigen 125 above reference range (finding)	432519008	Cancer antigen 125 above reference range (finding)
candidal vulvovaginitis (disorder)	72605008	Candidal vulvovaginitis (disorder)
candidiasis (disorder)	78048006	Candidiasis (disorder)
candidiasis of esophagus (disorder)	20639004	Candidiasis of esophagus (disorder)
candidiasis of mouth (disorder)	79740000	Candidiasis of mouth (disorder)
candidiasis of skin (disorder)	49883006	Candidiasis of skin (disorder)
candidiasis of vagina (disorder)	72934000	Candidiasis of vagina (disorder)
candidiasis of vulva (disorder)	1085006	Candidiasis of vulva (disorder)
cannabis dependence (disorder)	85005007	Cannabis dependence (disorder)
cannabis dependence in remission (disorder)	191839003	Cannabis dependence in remission (disorder)
cannabis dependence, continuous (disorder)	191837001	Cannabis dependence, continuous (disorder)
capsulitis (disorder)	6858004	Capsulitis (disorder)
carbuncle (disorder)	416893007	Carbuncle (disorder)
carbuncle of back (disorder)	200586004	Carbuncle of back (disorder)
carcinoembryonic antigen above reference range (finding)	445201008	Carcinoembryonic antigen above reference range (finding)
carcinoid heart disease (disorder)	36222008	Carcinoid heart disease (disorder)
carcinoid syndrome (disorder)	35868009	Carcinoid syndrome (disorder)
carcinoma in situ of breast (disorder)	189336000	Carcinoma in situ of breast (disorder)
carcinoma in situ of urinary bladder (disorder)	92546004	Carcinoma in situ of urinary bladder (disorder)
carcinoma in situ of uterine cervix (disorder)	92564006	Carcinoma in situ of uterine cervix (disorder)
carcinoma of ampulla of vater (disorder)	254609000	Carcinoma of ampulla of Vater (disorder)
carcinoma of anal canal (disorder)	285310000	Carcinoma of anal canal (disorder)
carcinoma of base of tongue (disorder)	271943005	Carcinoma of base of tongue (disorder)
carcinoma of body of stomach (disorder)	254557000	Carcinoma of body of stomach (disorder)
carcinoma of breast (disorder)	254838004	Carcinoma of breast (disorder)
carcinoma of cardia (disorder)	254553001	Carcinoma of cardia (disorder)
carcinoma of central portion of breast (disorder)	708921005	Carcinoma of central portion of breast (disorder)
carcinoma of cervix (disorder)	285432005	Carcinoma of cervix (disorder)
carcinoma of colon (disorder)	269533000	Carcinoma of colon (disorder)
carcinoma of duodenum (disorder)	254570009	Carcinoma of duodenum (disorder)
carcinoma of endocervix (disorder)	372098004	Carcinoma of endocervix (disorder)
carcinoma of endocrine pancreas (disorder)	254612002	Carcinoma of endocrine pancreas (disorder)
carcinoma of esophagus (disorder)	372138000	Carcinoma of esophagus (disorder)
carcinoma of exocervix (disorder)	372100004	Carcinoma of exocervix (disorder)
carcinoma of fallopian tube (disorder)	276870001	Carcinoma of fallopian tube (disorder)
carcinoma of gallbladder (disorder)	372140005	Carcinoma of gallbladder (disorder)
carcinoma of glottis (disorder)	372103002	Carcinoma of glottis (disorder)
carcinoma of larynx (disorder)	276975007	Carcinoma of larynx (disorder)
carcinoma of lower lobe of lung (disorder)	372111007	Carcinoma of lower lobe of lung (disorder)
carcinoma of main bronchus (disorder)	372120003	Carcinoma of main bronchus (disorder)
carcinoma of pancreas (disorder)	372142002	Carcinoma of pancreas (disorder)
carcinoma of parotid gland (disorder)	254462001	Carcinoma of parotid gland (disorder)
carcinoma of prostate (disorder)	254900004	Carcinoma of prostate (disorder)
carcinoma of pyloric antrum (disorder)	254559002	Carcinoma of pyloric antrum (disorder)
carcinoma of pylorus (disorder)	254561006	Carcinoma of pylorus (disorder)
carcinoma of sigmoid colon (disorder)	285312008	Carcinoma of sigmoid colon (disorder)
carcinoma of stomach (disorder)	372143007	Carcinoma of stomach (disorder)
carcinoma of upper outer quadrant of breast (disorder)	286895009	Carcinoma of upper outer quadrant of breast (disorder)
carcinoma of upper third of esophagus (disorder)	254547001	Carcinoma of upper third of esophagus (disorder)
carcinoma of urinary bladder (disorder)	255108000	Carcinoma of urinary bladder (disorder)
carcinoma of uterine cervix, invasive (disorder)	423973006	Carcinoma of uterine cervix, invasive (disorder)
carcinomatosis (disorder)	307593001	Carcinomatosis (disorder)
cardiac arrest (disorder)	410429000	Cardiac arrest (disorder)
cardiac arrest with successful resuscitation (disorder)	233927002	Cardiac arrest with successful resuscitation (disorder)
cardiac care (regime/therapy)	385715006	Cardiac care (regime/therapy)
cardiac catheterization (procedure)	41976001	Cardiac catheterization (procedure)
cardiac defibrillator in situ (finding)	441769002	Cardiac defibrillator in situ (finding)
cardiac electrophysiology (procedure)	252425004	Cardiac electrophysiology (procedure)
cardiac pacemaker in situ (finding)	441509002	Cardiac pacemaker in situ (finding)
cardiac pacemaker procedure (procedure)	233174007	Cardiac pacemaker procedure (procedure)
cardiac syndrome x (finding)	233845001	Cardiac syndrome X (finding)
cardiogenic shock (disorder)	89138009	Cardiogenic shock (disorder)
cardiomegaly (disorder)	8186001	Cardiomegaly (disorder)
cardiomyopathy (disorder)	85898001	Cardiomyopathy (disorder)
cardiomyopathy associated with another disorder (disorder)	195029002	Cardiomyopathy associated with another disorder (disorder)
cardiovascular stress test abnormal (finding)	439590007	Cardiovascular stress test abnormal (finding)
cardiovascular stress test using the dobutamine stress test protocol (procedure)	424225000	Cardiovascular stress test using the dobutamine stress test protocol (procedure)
cardiovascular stress test using treadmill (procedure)	80635001	Cardiovascular stress test using treadmill (procedure)
cardiovascular stress testing (procedure)	76746007	Cardiovascular stress testing (procedure)
cardioversion (procedure)	250980009	Cardioversion (procedure)
cardioverter defibrillator procedure (procedure)	425934009	Cardioverter defibrillator procedure (procedure)
caretaking skills training (procedure)	384761000	Caretaking skills training (procedure)
carious exposure of pulp (disorder)	700046006	Carious exposure of pulp (disorder)
