normalized_name	concept_id	display_name
history of tonsillectomy (situation)	438759003	History of tonsillectomy (situation)
history of total hysterectomy (situation)	428078001	History of total hysterectomy (situation)
history of tracheostomy (situation)	161685006	History of tracheostomy (situation)
history of transient ischemic attack (situation)	161511000	History of transient ischemic attack (situation)
history of transurethral prostatectomy (situation)	428079009	History of transurethral prostatectomy (situation)
history of treatment for ischemic heart disease (situation)	308068007	History of treatment for ischemic heart disease (situation)
history of tubal ligation (situation)	267020005	History of tubal ligation (situation)
history of tuberculosis (situation)	161414005	History of tuberculosis (situation)
history of tympanostomy (situation)	427964002	History of tympanostomy (situation)
history of urinary stone (situation)	161548009	History of urinary stone (situation)
history of vasectomy (situation)	161558008	History of vasectomy (situation)
hoarse (finding)	50219008	Hoarse (finding)
hodgkin lymphoma, lymphocyte-rich (disorder)	118607005	Hodgkin lymphoma, lymphocyte-rich (disorder)
hodgkin's disease (disorder)	118599009	Hodgkin's disease (disorder)
hodgkin's disease, nodular sclerosis (disorder)	118608000	Hodgkin's disease, nodular sclerosis (disorder)
holiday relief care of patient (regime/therapy)	105387008	Holiday relief care of patient (regime/therapy)
home care of patient (regime/therapy)	60689008	Home care of patient (regime/therapy)
homeless (finding)	32911000	Homeless (finding)
homocysteine measurement (procedure)	104733005	Homocysteine measurement (procedure)
homocystinemia (disorder)	52311001	Homocystinemia (disorder)
homonymous hemianopia (finding)	34063005	Homonymous hemianopia (finding)
homozygous beta thalassemia (disorder)	26682008	Homozygous beta thalassemia (disorder)
homozygous factor v leiden mutation (disorder)	307115002	Homozygous Factor V Leiden mutation (disorder)
hordeolum (disorder)	397513003	Hordeolum (disorder)
hormone replacement therapy (procedure)	266717002	Hormone replacement therapy (procedure)
hormone replacement therapy requested (situation)	394888000	Hormone replacement therapy requested (situation)
horseshoe retinal tear without detachment (disorder)	193341001	Horseshoe retinal tear without detachment (disorder)
hospice care (regime/therapy)	385763009	Hospice care (regime/therapy)
housing lack (finding)	266935003	Housing lack (finding)
housing unsatisfactory (finding)	105531004	Housing unsatisfactory (finding)
human bite - wound (disorder)	262555007	Human bite - wound (disorder)
human immunodeficiency virus detected (finding)	165816005	Human immunodeficiency virus detected (finding)
human immunodeficiency virus infection (disorder)	86406008	Human immunodeficiency virus infection (disorder)
human papillomavirus infection (disorder)	240532009	Human papillomavirus infection (disorder)
huntington's chorea (disorder)	58756001	Huntington's chorea (disorder)
hydatidiform mole, benign (disorder)	417044008	Hydatidiform mole, benign (disorder)
